"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Apotekarnas Julmust REGL","Carlsberg Sverige AB","185697","Returglas, läsk odyl","21540","","","","20x33 cl"
"Läsk Fläder BRK EKO","Midsona Sverige (markatta)","116352","Burkar, läsk odyl","41364","","","","24x33 cl"
"Red Bull sugar free BRK","Red Bull Sweden AB","103599","Sportdrycker","36195","","","","24x25 cl"
"Tomatjuice","Fontana Food AB","707718","Juice drickfärdig: övriga smak","17514","","","","12x1 l"
"Vitamin Well Awake PET","Vitamin Well AB","117580","Drickfärdiga drycker, övr smak","1130","","","","12x50 cl"
"NOCCO Carribean BRK","Vitamin Well AB","118384","Burkar, läsk odyl","6160","","","","24x33 cl"
"Trocadero PET","Spendrups Bryggeri AB","120271","PET, läsk odyl","1309043","","","","8x150 cl"
"Lätt kolsyrat ENGL","Stenkulla Brunn AB","777949","Engångsförpackningar","2033","","","","18x33 cl"
"Richard Juhlin Blanc de Blanc","Arvid Nordquist Hab","117586","Alkoholfritt alt","48885","","","","6x75 cl"
"Pepsi Max PET","Carlsberg Sverige AB","120953","PET, läsk odyl","21559","","","","24x50 cl"
"Fanta Lemon Engångsglas","Coca-cola European Partners Pl","113278","Engångsförp, läsk odyl","3128","","","","24x33 cl"
"Ramlösa Granatäpple BRK","Carlsberg Sverige AB","103638","Burk","22066","","","","24x33 cl"
"Apelsinjuice med sugrör","Skånemejerier Storhushåll AB","733455","Juice drickfärdig","56170","","","","18x25 cl"
"Fanta Exotic PET","Coca-cola European Partners Pl","122786","PET, läsk odyl","3430","","","","24x50 cl"
"Måltidsdryck citron lime 1+6 BIB","Orkla Foods Sverige","710208","Måltidsdricka konc, övrig smak","54021","","","","1x10 l"
"Pripps Blå klass I BRK","Carlsberg Sverige AB","103169","Lättöl","22055","","","","24x33 cl"
"Vitamin Well Focus svarta VinbärPET","Vitamin Well AB","101804","Drickfärdiga drycker, övr smak","1040","","","","12x50 cl"
"Coca-Cola BIB","Coca-cola European Partners Pl","776370","Engångsförp, läsk odyl","2062","","","","1x20 l"
"Nygårda Julmust REGL","Spendrups Bryggeri AB","103032","Returglas, läsk odyl","1303700","","","","20x33 cl"
"Carlsberg alkoholfri EKO","Carlsberg Sverige AB","116545","Öl alkoholfri","15927","","","","24x33 cl"
"Ramlösa naturell BRK","Carlsberg Sverige AB","103640","Burk","22068","","","","24x33 cl"
"Passion Fruktdryck","Fontana Food AB","114306","Juice drickfärdig: övriga smak","17535","","","","12x1 l"
"MER Jordgubb 20cl brik","Coca-cola European Partners Pl","118492","Drickfärdiga drycker, övr smak","0881","","","","30x20 cl"
"Pepsi Max BRK","Carlsberg Sverige AB","103635","Burkar, läsk odyl","22052","","","","24x33 cl"
"Pucko Original 1,5%","Arla Foods AB","209699","Chokladdryck","56504","","","","12x27 cl"
"Mandeldryck osötad","Midsona Sverige (markatta)","115436","Havre-, risdryck odyl","541349","","","","8x1 l"
"Mer hallon svartvinbär PET","Coca-cola European Partners Pl","713433","Drickfärdiga drycker, övr smak","4935","","","","12x50 cl"
"Äppeljuice koncentrat","Kiviks Musteri AB","109549","Juicekoncentrat: övriga smaker","70980","","","","10x1 l"
"Tropicana Pressed Apple","Orkla Foods Abba","207860","Juice drickfärdig","340018738","","","","6x1 l"
"Vitamin Well Defence Citrus Fläder PET","Vitamin Well AB","101797","Drickfärdiga drycker, övr smak","1000","","","","12x50 cl"
"Loka Päron REGL","Spendrups Bryggeri AB","118981","Returglas","1207500","","","","20x33 cl"
"Smakis Pärondryck BRIK KRAV","Kalasföretaget Säljprofilen AB","111181","Drickfärdiga drycker, övr smak","927025","","","","27x25 cl"
"Bonaqua Silver Citron Lime PET","Coca-cola European Partners Pl","101831","PET","1035","","","","24x50 cl"
"Havredryck Naturell","Oatly AB","206841","Havre-, risdryck odyl","61573","","","","6x1 l"
"Fanta Exotic BRK","Coca-cola European Partners Pl","103664","Burkar, läsk odyl","3411","","","","24x33 cl"
"Loka Päron BRK","Spendrups Bryggeri AB","103253","Burk","1214921","","","","24x33 cl"
"Schweppes tonic ENGL","Spendrups Bryggeri AB","107416","Engångsförp, drinkvatten","1329510","","","","24x25 cl"
"Juice Apelsin nypressad","Arla Foods AB","211158","Juice drickfärdig","66853","","","","1x5 l"
"MER Päron brik","Coca-cola European Partners Pl","118496","Drickfärdiga drycker, övr smak","0862","","","","30x20 cl"
"Aloe Vera original PET","Vitamin Well AB","110220","Drickfärdiga drycker, övr smak","7000","","","","20x50 cl"
"Ramlösa Citrus BRK","Carlsberg Sverige AB","103637","Burk","22062","","","","24x33 cl"
"Mer Päron PET","Coca-cola European Partners Pl","114268","Drickfärdiga drycker, övr smak","5235","","","","12x50 cl"
"Three Cents Aegan Tonic","Barkonsult AB","117697","Engångsförp, drinkvatten","3C-AT","","","","24x200 ml"
"Francos Lemon Sweet & Sour","Barkonsult AB","742142","Drinkbaser","8-41","","","","12x170 g"
"Pärondryck med sugrör EKO","Kiviks Musteri AB","113287","Drickfärdiga drycker, citrus","73851","","","","24x25 cl"
"Fruktdryck mango","Proviva AB","200658","Fruktdryck","578390","","","","6x1 l"
"Fruktdryck blåbär","Proviva AB","200066","Fruktdryck","578620","","","","6x1 l"
"Vatten lätt kolsyrat ENGL","Stenkulla Brunn AB","764847","Engångsförpackningar","2075","","","","12x75 cl"
"Festis päron tetra 20 cl EKO BRIK","Carlsberg Sverige AB","115072","Drickfärdiga drycker, övr smak","14566","","","","30x20 cl"
"Perrier Naturell ENGL","Hemberga Dryckesgrossisten AB","116086","Engångsförpackningar","273","","","","24x33 cl"
"Coca-Cola slim BRK","Coca-cola European Partners Pl","109978","Burkar, läsk odyl","2024","","","","24x25 cl"
"Somersby äpple alkoholfri ENGL","Carlsberg Sverige AB","115193","Cider alkoholfri","13583","","","","24x33 cl"
"Three Cents Pink Grapefruit Soda","Barkonsult AB","117698","Engångsförp, drinkvatten","3C-PG","","","","24x200 ml"
"Pago Apelsin ENGL","Eckes Granini Sverige AB","113368","Juice drickfärdig: övriga smak","1003512","","","","12x20 cl"
"Apelsinjuice","B&p Handelskompagni AB","744573","Juice drickfärdig","250600","","","","12x1 l"
"Apelsinjuice med fruktkött","Orkla Foods Abba","207740","Juice drickfärdig","340022376","","","","8x25 cl"
"Äppeldricka  BIB","Coca-cola European Partners Pl","776382","Måltidsdricka konc, äpple","7362","","","","1x10 l"
"Apelsinjuice med sugrör BRIK","Kiviks Musteri AB","789758","Juice drickfärdig","71056","","","","27x25 cl"
"Miguel Torres Natureo Red","Wine & Spirits Collective","706816","Alkoholfritt alt","194001","","","","12x75 cl"
"Sprite PET","Coca-cola European Partners Pl","100382","PET, läsk odyl","4723","","","","8x150 cl"
"Three Cents Ginger Beer","Barkonsult AB","117701","Engångsförp, drinkvatten","3C-GB","","","","24x200 ml"
