"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Chinon Les Royaux Agriculture EKO","We & Wine AB","725999","Vin, Sprit och Starköl","990097501","12.5","Frankrike","Joseph Mellot","12x750 ml"
"Taittinger Les Folies de la Marquetterie Grand Cru","We & Wine AB","779081","Torrt","8123201","12.8","Frankrike","Taittinger","6x75 cl"
"Laphroaig 25YO CS 52% 6X0.7 L","Edrington Sweden AB","725947","Whisky","10990018","52","Storbritannien","","6x70 cl"
"Norton Reserva Malbec","Wine & Spirits Collective","725939","Fylligt","X251NO0101","13.5","Argentina","Norton","12x75 cl"
"Robert Mondavi Private Selection Cabernet Sauvignon","Bibendum AB","725932","Medel fylligt","1017468","13.5","USA","","12x75 cl"
"Små Gule","Spivi AB","725935","Vin, Sprit och Starköl","11591","16.4","Danmark","Spritfabrikken Danmark ApS","6x1 l"
"De Bortoli Semillon/Chardonnay","Wine & Spirits Collective","725968","Vin, Sprit och Starköl","1644601","13","Australien","De Bortoli","12x750 ml"
"De Bortoli Shiraz","Wine & Spirits Collective","725949","Vin, Sprit och Starköl","628001","14","Australien","De Bortoli","12x750 ml"
"Cocito Barbaresco Baluchin Riserva","Tuesday Wine AB","725979","Vin, Sprit och Starköl","X5499GC0201","14.5","Italien","Ezio Cocito","6x750 ml"
"Mariestads Påskbrygd 5,8% 50cl rg","Spendrups Bryggeri AB","726017","Öl","1103601","5.8","Sverige","","15x50 cl"
"Beringer Founders Estate Chardonnay","Primewine Sweden AB","724961","Torrt","X5226TR1301","14","USA","Beringer","6x75 cl"
"Langhe Nebbiolo Ochetti Stick Magnum","We & Wine AB","725986","Vin, Sprit och Starköl","7884206","13.5","Italien","Renato Ratti","1x1500 ml"
"Wakefield Chardonnay","Enjoy Wine & Spirits AB","724755","Torrt","7443501","13.5","Australien","Wakefield Wines","6x75 cl"
"Langhe Arneis Luigi Voghera","Primewine Sweden AB","724645","Torrt","7409301","14.5","Italien","Luigi Voghera","6x75 cl"
"Cotes du  Rhone Samorens EKO","We & Wine AB","724350","Fylligt","990091301","14","Frankrike","Ferraton Pere et Fils","6x75 cl"
"Beringer Founders Estate Cabernet Sauvignon","Primewine Sweden AB","724960","Fylligt","X5226TR0701","13.5","USA","Beringer","6x75 cl"
